POLE_ID,LINE_CODE,LATITUDE,LONGITUDE,VOLTAGE,POLE_TYPE,STREET
SPC_HCM_MOCK_028,22kV_471_T1,10.769466,106.688594,Trung thế (22kV),Bê tông ly tâm 12m,"Trường Chinh, TP.HCM"
NPC_HN_MOCK_029,22kV_473_E1.5,21.028777,105.840031,Trung thế (22kV),Trụ thép góc,"Nguyễn Trãi, Hà Nội"
NPC_HP_MOCK_030,22kV_471_E2.1,20.840361,106.675916,Trung thế (22kV),Bê tông chữ I 8.5m,"Lạch Tray, Hải Phòng"
CPC_DN_MOCK_031,35kV_372_E4.2,16.05399,108.188227,Trung thế (35kV),Trụ thép góc,"Điện Biên Phủ, Đà Nẵng"
CPC_HUE_MOCK_032,22kV_472_E6.1,16.447785,107.604508,Trung thế (22kV),Bê tông ly tâm 12m,"Hùng Vương, Huế"
SPC_DN_MOCK_033,22kV_474_E3.1,10.968777,106.859907,Trung thế (22kV),Bê tông chữ I 8.5m,"Nguyễn Ái Quốc, Biên Hòa"
SPC_HCM_MOCK_034,22kV_471_T1,10.782651,106.716987,Trung thế (22kV),Bê tông ly tâm 14m,"Trường Chinh, TP.HCM"
NPC_HN_MOCK_035,35kV_371_E1.2,21.045217,105.869641,Trung thế (35kV),Bê tông ly tâm 14m,"Phạm Văn Đồng, Hà Nội"
NPC_HP_MOCK_036,22kV_475_E2.3,20.862725,106.693496,Trung thế (22kV),Trụ thép đơn thân,"Tô Hiệu, Hải Phòng"
CPC_DN_MOCK_037,22kV_471_E4.1,16.045325,108.186505,Trung thế (22kV),Bê tông ly tâm 12m,"Nguyễn Văn Linh, Đà Nẵng"
CPC_HUE_MOCK_038,22kV_472_E6.1,16.445959,107.598382,Trung thế (22kV),Bê tông ly tâm 12m,"Hùng Vương, Huế"
SPC_DN_MOCK_039,0.4kV_TBA_A1,10.971995,106.855647,Hạ thế (0.4kV),Bê tông ly tâm 12m,"Nguyễn Ái Quốc, Biên Hòa"
SPC_HCM_MOCK_040,0.4kV_TBA_B2,10.782983,106.690613,Hạ thế (0.4kV),Bê tông ly tâm 14m,"Trường Chinh, TP.HCM"
NPC_HN_MOCK_041,22kV_473_E1.5,21.038746,105.86527,Trung thế (22kV),Bê tông ly tâm 14m,"Nguyễn Trãi, Hà Nội"
NPC_HP_MOCK_042,22kV_471_E2.1,20.850623,106.682855,Trung thế (22kV),Trụ thép đơn thân,"Tô Hiệu, Hải Phòng"
CPC_DN_MOCK_043,22kV_471_E4.1,16.060641,108.21963,Trung thế (22kV),Bê tông ly tâm 12m,"Nguyễn Văn Linh, Đà Nẵng"
CPC_HUE_MOCK_044,35kV_371_E6.2,16.471916,107.601721,Trung thế (35kV),Bê tông ly tâm 12m,"Hùng Vương, Huế"
SPC_DN_MOCK_045,0.4kV_TBA_A1,10.946248,106.84085,Hạ thế (0.4kV),Trụ thép đơn thân,"Nguyễn Ái Quốc, Biên Hòa"
SPC_HCM_MOCK_046,0.4kV_TBA_B2,10.775555,106.714381,Hạ thế (0.4kV),Bê tông ly tâm 12m,"Trường Chinh, TP.HCM"
NPC_HN_MOCK_047,22kV_473_E1.5,21.012321,105.872174,Trung thế (22kV),Bê tông ly tâm 12m,"Nguyễn Trãi, Hà Nội"
NPC_HP_MOCK_048,22kV_471_E2.1,20.832887,106.687583,Trung thế (22kV),Bê tông ly tâm 14m,"Tô Hiệu, Hải Phòng"
CPC_DN_MOCK_049,22kV_471_E4.1,16.042327,108.184278,Trung thế (22kV),Trụ thép đơn thân,"Điện Biên Phủ, Đà Nẵng"
CPC_HUE_MOCK_050,35kV_371_E6.2,16.455969,107.597977,Trung thế (35kV),Bê tông chữ I 8.5m,"An Dương Vương, Huế"
